sensor,lower_threshold,upper_threshold,significance
sensor_10,0,20,Significant
sensor_12_lag_3,0,16,Significant
sensor_05_std_1H,6.5,12,Significant
sensor_10_max_1H,0,20,Significant
sensor_12_min_1H,0,6.5,Significant
sensor_12_lag_1,0,6.5,Significant
sensor_13,0.0,4.5,Significant
sensor_00,0,1.5,Significant
sensor_12_max_1H,0,16,Significant
sensor_12_mean_1H,0,25,Significant
sensor_11_max_1H,05,28,Significant
sensor_04,0,410,Significant
sensor_13_lag_3,0,4,Significant
sensor_00_min_1H,0,0.9,Significant
sensor_10_lag_1,0,16,Significant
sensor_10_lag_3,0,16,Significant
sensor_12,0,16,Significant
